pair_id,solo_accuracy,solo_precision,solo_recall,solo_f1,similarity,fedavg_accuracy,fedavg_precision,fedavg_recall,fedavg_f1,fedprox_accuracy,fedprox_precision,fedprox_recall,fedprox_f1,scaffold_accuracy,scaffold_precision,scaffold_recall,scaffold_f1,fedov_accuracy,fedov_precision,fedov_recall,fedov_f1,combined_accuracy,combined_precision,combined_recall,combined_f1
12294_78233,1.0,1.0,1.0,1.0,0.99760354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9403122130394858,0.9696969696969697,0.9547785547785548,0.9696969696969697,0.9403122130394858,0.9696969696969697,0.9547785547785548,1.0,1.0,1.0,1.0
87810_97643,0.0,0.0,0.0,0.0,0.99758124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,1.0,0.3157894736842105,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47037_48237,0.4659090909090909,0.5233766233766234,0.4659090909090909,0.44510035419126337,0.99751806,0.5,0.5505747126436781,0.5,0.49143746756616496,0.4431818181818182,0.4819416576632196,0.4431818181818182,0.4356075327703776,0.5227272727272727,0.4643308080808081,0.5227272727272727,0.4694337920144372,0.5454545454545454,0.3376623376623376,0.5454545454545454,0.4171122994652407,0.5795454545454546,0.5893050903429731,0.5795454545454546,0.5825790371244917
20497_30669,0.5,0.5093537414965986,0.5,0.47204206836108675,0.9979049,0.5522388059701493,0.5586915179518203,0.5522388059701493,0.5474122761445411,0.5671641791044776,0.5759861218358949,0.5671641791044776,0.5610225897539332,0.4925373134328358,0.4706841819106582,0.4925373134328358,0.4306422433288105,0.5149253731343284,0.5572139303482587,0.5149253731343284,0.4410875703403349,0.5597014925373134,0.5595182569296374,0.5597014925373134,0.5595787167558559
05806_90240,1.0,1.0,1.0,1.0,0.9975588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18604651162790697,0.03986710963455149,0.18604651162790697,0.06566347469220246,0.9651162790697675,0.9665902391090729,0.9651162790697675,0.9639070984227417,1.0,1.0,1.0,1.0
20150_29817,0.975609756097561,0.9770034843205575,0.975609756097561,0.9757143711142993,0.9977974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4024390243902439,0.16195716835217133,0.4024390243902439,0.23096500530222694,0.9878048780487805,0.9880487804878049,0.9878048780487805,0.9877726609433927,1.0,1.0,1.0,1.0
47698_48589,1.0,1.0,1.0,1.0,0.9977838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46546_46589,0.5081967213114754,0.3482934694974469,0.5081967213114754,0.4380598276153456,0.9974588,0.4918032786885246,0.49486578994775715,0.4918032786885246,0.49320674933561515,0.5409836065573771,0.5297423887587821,0.5409836065573771,0.5331057508346775,0.4098360655737705,0.16796560064498792,0.4098360655737705,0.2382767823103317,0.4098360655737705,0.16796560064498792,0.4098360655737705,0.2382767823103317,0.5081967213114754,0.5199971735443754,0.5081967213114754,0.5119468552448302
37293_86553,0.949685534591195,0.9522331024599953,0.949685534591195,0.9302131830433717,0.9975667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24528301886792453,0.9473453268977622,0.24528301886792453,0.3218485097074104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32320_33752,1.0,1.0,1.0,1.0,0.99772894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23770491803278687,0.16111111111111115,0.23770491803278687,0.19205298013245034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11200_49695,0.5029585798816568,0.5301496693351897,0.5029585798816568,0.48270689224102004,0.99845624,0.591715976331361,0.6011129338888536,0.591715976331361,0.591715976331361,0.5857988165680473,0.5927697626487601,0.5857988165680473,0.5863210651882333,0.4970414201183432,0.4637011661303159,0.4970414201183432,0.4516218370541039,0.6094674556213018,0.6182673342436655,0.6094674556213018,0.609658893143056,0.5976331360946746,0.6062812926718253,0.5976331360946746,0.5978303747534517
02574_23190,0.275,0.8995049504950495,0.275,0.29693913043478254,0.9991932,0.14166666666666666,0.8972934472934473,0.14166666666666666,0.07356023997945701,0.45,0.90375,0.45,0.518770037889828,0.5083333333333333,0.8225146198830409,0.5083333333333333,0.5908719092768172,0.75,0.9204545454545454,0.75,0.7940507768093975,0.3333333333333333,0.900709219858156,0.3333333333333333,0.3782267115600449
65096_65104,0.5487804878048781,0.5453489599831063,0.5487804878048781,0.5450220335915308,0.9975765,0.524390243902439,0.5173207229795135,0.524390243902439,0.5145106751883028,0.524390243902439,0.5173207229795135,0.524390243902439,0.5145106751883028,0.5975609756097561,0.5981172443303381,0.5975609756097561,0.5819390301399479,0.5853658536585366,0.5868440502586845,0.5853658536585366,0.5619762351469668,0.524390243902439,0.5188287746255072,0.524390243902439,0.5177875760450967
